Id,Label
00001,samsung
00002,apple
00003,facebook
00004,facebook
00005,google
00006,messenger
00007,samsung
00008,apple
00009,apple
00010,google
00011,messenger
00012,facebook
00013,whatsapp
00014,apple
00015,samsung
00016,facebook
00017,apple
00018,apple
00019,facebook
00020,samsung
00021,apple
00022,facebook
00023,facebook
00024,mozilla
00025,apple
00026,apple
00027,apple
00028,mozilla
00029,apple
00030,samsung
00031,whatsapp
00032,whatsapp
00033,whatsapp
00034,apple
00035,google
00036,apple
00037,whatsapp
00038,apple
00039,whatsapp
00040,google
00041,apple
00042,whatsapp
00043,apple
00044,samsung
00045,whatsapp
00046,apple
00047,facebook
00048,apple
00049,samsung
00050,apple
00051,samsung
00052,whatsapp
00053,mozilla
00054,whatsapp
00055,whatsapp
00056,facebook
00057,facebook
00058,samsung
00059,apple
00060,whatsapp
00061,mozilla
00062,google
00063,apple
00064,samsung
00065,messenger
00066,samsung
00067,messenger
00068,apple
00069,samsung
00070,samsung
00071,facebook
00072,apple
00073,samsung
00074,facebook
00075,google
00076,messenger
00077,whatsapp
00078,messenger
00079,apple
00080,facebook
00081,apple
00082,google
00083,whatsapp
00084,samsung
00085,facebook
00086,samsung
00087,google
00088,mozilla
00089,facebook
00090,whatsapp
00091,google
00092,apple
00093,facebook
00094,messenger
00095,google
00096,whatsapp
00097,google
00098,facebook
00099,whatsapp
00100,samsung
00101,facebook
00102,apple
00103,facebook
00104,facebook
00105,whatsapp
00106,whatsapp
00107,apple
00108,apple
00109,google
00110,facebook
00111,apple
00112,facebook
00113,samsung
00114,google
00115,whatsapp
00116,messenger
00117,apple
00118,google
00119,whatsapp
00120,google
00121,apple
00122,samsung
00123,samsung
00124,samsung
00125,apple
00126,mozilla
00127,samsung
00128,google
00129,samsung
00130,mozilla
00131,facebook
00132,google
00133,facebook
00134,facebook
00135,facebook
00136,google
00137,samsung
00138,facebook
00139,apple
00140,samsung
00141,apple
00142,facebook
00143,samsung
00144,samsung
00145,google
00146,apple
00147,facebook
00148,google
00149,apple
00150,apple
00151,google
00152,apple
00153,apple
00154,google
00155,apple
00156,whatsapp
00157,whatsapp
00158,samsung
00159,messenger
00160,google
00161,whatsapp
00162,google
00163,google
00164,facebook
00165,whatsapp
00166,whatsapp
00167,apple
00168,facebook
00169,whatsapp
00170,samsung
00171,whatsapp
00172,samsung
00173,apple
00174,apple
00175,samsung
00176,mozilla
00177,whatsapp
00178,messenger
00179,apple
00180,samsung
